Saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Reservert kapasitet (MW),Dato for når Statnett reserverte kapasitet til kunden,Kundens ønskede tilknytningstidspunkt,Kundens referanse,Kunde og tilknytningsansvarlig
23/01153,Fræna,Midt,NO3,Elinett AS,Omya Hustadmarmor AS,Industri,5,15.10.2018,31.12.2031,,Christopher Aarnseth Ruud
21/00006,Strinda,Midt,NO3,Tensio AS,Statkraft Varme,Industri,5,17.03.2021,28.02.2026,,Christopher Aarnseth Ruud
25/02312,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Norsk Stein Tau,Industri,5,27.05.2024,31.12.2024,,Ingvild Grøtterud Birkeland
23/01141,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Vest Resirkulering,Industri,5,16.11.2025,30.03.2027,,Hans Olav Ween
23/00867,Ålfoten,Sogn og Sunnmøre,NO3,Linja AS,Svelgen Property AS,Datasenter,"4,8",08.03.2023,30.03.2026,,Hans Olav Ween
25/02022,Kolsvik,Helgeland og Salten,NO4,Tensio AS,Eco Seafood,Oppdrettsnæring,"4,4",06.03.2025,31.08.2026,,Ingvild Grøtterud Birkeland
24/01507,Namsos,Midt,NO3,Tensio AS,ECO Seafood AS,Oppdrettsnæring,"4,4",01.11.2025,31.08.2026,,Christopher Aarnseth Ruud
21/00441,Moskog,Sogn og Sunnmøre,NO3,Linja AS,Bulandet Miljøfisk,Oppdrettsnæring,4,24.10.2021,30.12.2025,,Hans Olav Ween
23/01237,Kvitnes,Nord,NO4,Noranett AS,Denvo Wolffish Norway AS,Oppdrettsnæring,4,18.01.2026,31.08.2026,,Lars Erik Johansen
22/00686,Melbu,Nord,NO4,Noranett AS,Børøya,Industri,4,06.02.2023,01.08.2027,,Lars Erik Johansen
25/02503,Kobbvatnet,Helgeland og Salten,NO4,Kystnett As,STATENS VEGVESEN,Transport,"3,5",,31.12.2028,,Ingvild Grøtterud Birkeland
23/00868,Moskog,Sogn og Sunnmøre,NO3,Linja AS,EWOS AS,Oppdrettsnæring,3,21.09.2023,30.04.2026,,Hans Olav Ween
21/00223,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Hydro Aluminium AS,Industri,3,21.08.2018,29.11.2026,,Hans Olav Ween
25/02477,Kilbotn,Nord,NO4,Noranett AS,TROMS FYLKESKOMMUNE,Transport,"2,8",18.01.2026,28.02.2027,,Lars Erik Johansen
22/00716,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,Nordland Settefisk,Oppdrettsnæring,"2,5",19.12.2025,01.10.2025,,Ingvild Grøtterud Birkeland
24/01655,Kolsvik,Helgeland og Salten,NO4,Linea AS,Brønnøy Kalk,Transport,"2,5",12.03.2025,29.06.2026,,Ingvild Grøtterud Birkeland
24/01506,Åfjord,Midt,NO3,Tensio AS,Fossefall AS,Datasenter,"2,2",14.11.2025,30.01.2026,,Christopher Aarnseth Ruud
22/00713,Kolsvik,Helgeland og Salten,NO4,Linea AS,Sømna Biogaass,Industri,2,09.02.2024,30.03.2027,,Ingvild Grøtterud Birkeland
25/02740,Namsos,Midt,NO3,Tensio AS,MOWI ASA,Oppdrettsnæring,"1,8",19.01.2026,01.01.2026,,Christopher Aarnseth Ruud
21/00347,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Bluebite,Datasenter,1,30.06.2023,30.12.2025,,Ingvild Grøtterud Birkeland
